N,V,Time(ms)
1000, 2, 0.050331
1000, 4, 0.048929
1000, 8, 0.049432
1000, 16, 0.062829
1000, 32, 0.054075
1000, 64, 0.063239
1000, 128, 0.099096
1000, 256, 0.050757
10000, 2, 0.660041
10000, 4, 0.522208
10000, 8, 0.763623
10000, 16, 0.68585
10000, 32, 0.616367
10000, 64, 0.587421
10000, 128, 0.68129
10000, 256, 0.518999
100000, 2, 5.80408
100000, 4, 5.76116
100000, 8, 5.7127
100000, 16, 6.326
100000, 32, 6.52934
100000, 64, 6.69142
100000, 128, 6.17511
100000, 256, 5.67277
1000000, 2, 56.4305
1000000, 4, 60.2539
1000000, 8, 63.287
1000000, 16, 57.6464
1000000, 32, 57.3931
1000000, 64, 56.5888
1000000, 128, 56.9602
1000000, 256, 57.4939
10000000, 2, 587.189
10000000, 4, 575.695
10000000, 8, 619.175
10000000, 16, 581.876
10000000, 32, 645.352
10000000, 64, 602.527
10000000, 128, 621.238
10000000, 256, 620.746
