Elements (2^n),Expected Sum,Method,Absolute Diff,Relative Diff,Runtime (s)
2^10,51.2000000512,Standard double,1.37135e-12,2.67841e-14,0.000005
2^10,51.2000000512,Long double,3.55271e-15,6.93889e-17,0.000006
2^10,51.2000000512,Pairwise sum,0,0,0.000013
2^10,51.2000000512,Kahan sum,0,0,0.000016
2^10,51.2000000512,Knuth sum,0,0,0.000008
2^11,102.4000001024,Standard double,2.84217e-13,2.77556e-15,0.000009
2^11,102.4000001024,Long double,7.10543e-15,6.93889e-17,0.000011
2^11,102.4000001024,Pairwise sum,0,0,0.000024
2^11,102.4000001024,Kahan sum,0,0,0.000032
2^11,102.4000001024,Knuth sum,0,0,0.000015
2^12,204.8000002048,Standard double,-3.27987e-11,-1.6015e-13,0.000019
2^12,204.8000002048,Long double,0,0,0.000079
2^12,204.8000002048,Pairwise sum,0,0,0.000047
2^12,204.8000002048,Kahan sum,0,0,0.000063
2^12,204.8000002048,Knuth sum,0,0,0.000031
2^13,409.6000004096,Standard double,-2.62617e-11,-6.41154e-14,0.000037
2^13,409.6000004096,Long double,5.68434e-14,1.38778e-16,0.000063
2^13,409.6000004096,Pairwise sum,0,0,0.000093
2^13,409.6000004096,Kahan sum,0,0,0.000127
2^13,409.6000004096,Knuth sum,0,0,0.000061
2^14,819.2000008192,Standard double,4.81577e-10,5.87863e-13,0.000074
2^14,819.2000008192,Long double,2.84217e-14,3.46945e-17,0.000090
2^14,819.2000008192,Pairwise sum,0,0,0.000204
2^14,819.2000008192,Kahan sum,0,0,0.000254
2^14,819.2000008192,Knuth sum,0,0,0.000122
2^15,1638.4000016384,Standard double,3.33102e-10,2.0331e-13,0.000171
2^15,1638.4000016384,Long double,-8.52651e-14,-5.20417e-17,0.000180
2^15,1638.4000016384,Pairwise sum,0,0,0.000372
2^15,1638.4000016384,Kahan sum,0,0,0.000543
2^15,1638.4000016384,Knuth sum,0,0,0.000243
2^16,3276.8000032768,Standard double,-4.29281e-10,-1.31006e-13,0.000568
2^16,3276.8000032768,Long double,1.0516e-12,3.20924e-16,0.000863
2^16,3276.8000032768,Pairwise sum,0,0,0.000793
2^16,3276.8000032768,Kahan sum,0,0,0.000902
2^16,3276.8000032768,Knuth sum,0,0,0.000398
2^17,6553.6000065536,Standard double,9.22137e-09,1.40707e-12,0.000435
2^17,6553.6000065536,Long double,4.23483e-12,6.46184e-16,0.000592
2^17,6553.6000065536,Pairwise sum,0,0,0.001108
2^17,6553.6000065536,Kahan sum,0,0,0.001307
2^17,6553.6000065536,Knuth sum,0,0,0.000615
2^18,13107.2000131072,Standard double,3.59742e-08,2.74461e-12,0.000734
2^18,13107.2000131072,Long double,-1.12266e-11,-8.5652e-16,0.000916
2^18,13107.2000131072,Pairwise sum,0,0,0.001940
2^18,13107.2000131072,Kahan sum,0,0,0.003051
2^18,13107.2000131072,Knuth sum,0,0,0.001274
2^19,26214.4000262144,Standard double,-5.66171e-07,-2.15977e-11,0.001556
2^19,26214.4000262144,Long double,-5.67013e-11,-2.16298e-15,0.001872
2^19,26214.4000262144,Pairwise sum,0,0,0.003684
2^19,26214.4000262144,Kahan sum,0,0,0.005466
2^19,26214.4000262144,Knuth sum,0,0,0.002649
2^20,52428.8000524288,Standard double,4.94518e-07,9.43218e-12,0.003328
2^20,52428.8000524288,Long double,-7.29727e-10,-1.39184e-14,0.003902
2^20,52428.8000524288,Pairwise sum,0,0,0.007581
2^20,52428.8000524288,Kahan sum,0,0,0.011551
2^20,52428.8000524288,Knuth sum,0,0,0.005136
2^21,104857.6001048576,Standard double,3.56956e-06,3.40419e-11,0.006331
2^21,104857.6001048576,Long double,2.81366e-09,2.68332e-14,0.007078
2^21,104857.6001048576,Pairwise sum,0,0,0.015579
2^21,104857.6001048576,Kahan sum,0,0,0.019816
2^21,104857.6001048576,Knuth sum,0,0,0.010103
2^22,209715.2002097152,Standard double,-1.88906e-05,-9.00774e-11,0.012080
2^22,209715.2002097152,Long double,5.87221e-10,2.80009e-15,0.014560
2^22,209715.2002097152,Pairwise sum,0,0,0.030593
2^22,209715.2002097152,Kahan sum,0,0,0.040820
2^22,209715.2002097152,Knuth sum,0,0,0.019755
2^23,419430.4004194304,Standard double,4.30006e-05,1.02521e-10,0.023828
2^23,419430.4004194304,Long double,-6.71956e-08,-1.60207e-13,0.028708
2^23,419430.4004194304,Pairwise sum,0,0,0.059763
2^23,419430.4004194304,Kahan sum,0,0,0.080565
2^23,419430.4004194304,Knuth sum,0,0,0.038928
2^24,838860.8008388608,Standard double,1.41952e-05,1.6922e-11,0.048554
2^24,838860.8008388608,Long double,-5.37497e-08,-6.40746e-14,0.056192
2^24,838860.8008388608,Pairwise sum,0,0,0.119600
